name,province,district,beds_(as_of_2024)[1]
Thap Khlo Hospital,Phichit,Thap Khlo,28
Wachirabarami Hospital,Phichit,Wachirabarami,30
Wang Sai Phun Hospital,Phichit,Wang Sai Phun,30
Bang Krathum Hospital,Phitsanulok,Bang Krathum,30
Bang Rakam Hospital,Phitsanulok,Bang Rakam,69
Chat Trakan Hospital,Phitsanulok,Chat Trakan,30
Nakhon Thai Crown Prince Hospital,Phitsanulok,Nakhon Thai,118
Noen Maprang Hospital,Phitsanulok,Noen Maprang,33
Phrom Phiram Hospital,Phitsanulok,Phrom Phiram,50
Wang Thong Hospital,Phitsanulok,Wang Thong,68
Wat Bot Hospital,Phitsanulok,Wat Bot,30
Den Chai Crown Prince Hospital,Phrae,Den Chai,38
Long Hospital,Phrae,Long,39
Nong Muang Khai Hospital,Phrae,Nong Muang Khai,32
Rong Kwang Hospital,Phrae,Rong Kwang,41
Song Hospital,Phrae,Song,55
Sung Men Hospital,Phrae,Sung Men,64
Wang Chin Hospital,Phrae,Wang Chin,36
Ban Phraek Hospital,Phra Nakhon Si Ayutthaya,Ban Phraek,10
Bang Ban Hospital,Phra Nakhon Si Ayutthaya,Bang Ban,26
Bang Pahan Hospital,Phra Nakhon Si Ayutthaya,Bang Pahan,35
Bang Pa-in Hospital,Phra Nakhon Si Ayutthaya,Bang Pa-in,96
Bang Sai Hospital,Phra Nakhon Si Ayutthaya,Bang Sai (1404),39
Bang Sai Hospital,Phra Nakhon Si Ayutthaya,Bang Sai (1413),10
Lat Bua Luang Hospital,Phra Nakhon Si Ayutthaya,Lat Bua Luang,34
Maha Rat Hospital,Phra Nakhon Si Ayutthaya,Maha Rat,22
Phachi Hospital,Phra Nakhon Si Ayutthaya,Phachi,40
Phak Hai Hospital,Phra Nakhon Si Ayutthaya,Phak Hai,31
Somdet Phra Sangkharat Wassanamahatayra Hospital,Phra Nakhon Si Ayutthaya,Nakhon Luang,45
Tha Ruea Hospital,Phra Nakhon Si Ayutthaya,Tha Ruea,32
Uthai Hospital,Phra Nakhon Si Ayutthaya,Uthai,38
Wang Noi Hospital,Phra Nakhon Si Ayutthaya,Wang Noi,68
Chalong Hospital,Phuket,Mueang,48
Patong Hospital,Phuket,Kathu,88
Thalang Hospital,Phuket,Thalang,90
Ban Sang Hospital,Prachinburi,Ban Sang,30
Na Di Hospital,Prachinburi,Na Di,60
Prachantakham Hospital,Prachinburi,Prachantakham,33
Si Maha Phot Hospital,Prachinburi,Si Maha Phot,66
Si Mahosot Hospital,Prachinburi,Si Mahosot,30
Bang Saphan Noi Hospital,Prachuap Khiri Khan,Bang Saphan Noi,30
Kui Buri Hospital,Prachuap Khiri Khan,Kui Buri,30
Pran Buri Hospital,Prachuap Khiri Khan,Pran Buri,60
Sam Roi Yot Hospital,Prachuap Khiri Khan,Sam Roi Yot,90
Thap Sakae Hospital,Prachuap Khiri Khan,Thap Sakae,60
Kapoe Hospital,Ranong,Kapoe,35
Kra Buri Hospital,Ranong,Kra Buri,30
La-un Hospital,Ranong,La-un,16
Suk Samran Hospital,Ranong,Suk Samran,10
Ban Kha Hospital,Ratchaburi,Ban Kha,30
Bang Phae Hospital,Ratchaburi,Bang Phae,48
Chet Samian Hospital,Ratchaburi,Photharam,30
Chom Bueng Crown Prince Hospital,Ratchaburi,Chom Bueng,60
Pak Tho Hospital,Ratchaburi,Pak Tho,60
Suan Phueng Hospital,Ratchaburi,Suan Phueng,60
Wat Phleng Hospital,Ratchaburi,Wat Phleng,38
Ban Chang Hospital,Rayong,Ban Chang,75
Ban Khai Hospital,Rayong,Ban Khai,48
Khao Chamao Chaloem Phrakiat Hospital,Rayong,Khao Chamao,30
Nikhom Phatthana Hospital,Rayong,Nikhom Phattana,30
Pluak Daeng Hospital,Rayong,Pluak Daeng,76
Wang Chan Hospital,Rayong,Wang Chan,43
At Samat Hospital,Roi Et,At Samat,39
Changhan Hospital,Roi Et,Changhan,35
Chaturaphak Phiman Hospital,Roi Et,Chaturaphak Phiman,65
Chiang Khwan Hospital,Roi Et,Chiang Khwan,0
Kaset Wisai Hospital,Roi Et,Kaset Wisai,165
Moei Wadi Hospital,Roi Et,Moei Wadi,30
Mueang Suang Hospital,Roi Et,Mueang Suang,33
Nong Hi Hospital,Roi Et,Nong Hi,28
Nong Phok Hospital,Roi Et,Nong Phok,30
Pathum Rat Hospital,Roi Et,Pathum Rat,36
Phanom Phrai Hospital,Roi Et,Phanom Phrai,42
Pho Chai Hospital,Roi Et,Pho Chai,30
Phon Sai Hospital,Roi Et,Phon Sai,31
Phon Thong Hospital,Roi Et,Phon Thong,213
Selaphum Hospital,Roi Et,Selaphum,112
Si Somdet Hospital,Roi Et,Si Somdet,37
Suwannaphum Hospital,Roi Et,Suwannaphum,181
Thawat Buri Hospital,Roi Et,Thawat Buri,38
Thung Khao Luang Hospital,Roi Et,Thung Khao Luang,10
Khao Chakan Hospital,Sa Kaeo,Khao Chakan,50
Khlong Hat Hospital,Sa Kaeo,Khlong Hat,38
Khok Sung Hospital,Sa Kaeo,Khok Sung,30
Ta Phraya Hospital,Sa Kaeo,Ta Phraya,53
Wang Nam Yen Hospital,Sa Kaeo,Wang Nam Yen,76
Wang Sombun Hospital,Sa Kaeo,Wang Sombun,34
Watthana Nakhon Hospital,Sa Kaeo,Watthana Nakhon,75
Akat Amnuai Hospital,Sakon Nakhon,Akat Amnuai,82
Ban Muang Hospital,Sakon Nakhon,Ban Muang,82
Charoen Sin Hospital,Sakon Nakhon,Charoen Sin,40
Kham Ta Kla Hospital,Sakon Nakhon,Kham Ta Kla,40
Khok Si Suphan Hospital,Sakon Nakhon,Khok Si Suphan,42
Kusuman Hospital,Sakon Nakhon,Kusuman,40
Kut Bak Hospital,Sakon Nakhon,Kut Bak,39
Nikhom Nam Un Hospital,Sakon Nakhon,Nikhom Nam Un,15
Phang Khon Hospital,Sakon Nakhon,Phang Khon,107
Phon Na Kaeo Hospital,Sakon Nakhon,Phon Na Kaeo,34
Phra Achan Ban Thanakaro Hospital,Sakon Nakhon,Phu Phan,40
Phra Achan Fan Acharo Hospital,Sakon Nakhon,Phanna Nikhom,90
Song Dao Hospital,Sakon Nakhon,Song Dao,38
Tao Ngoi Hospital,Sakon Nakhon,Tao Ngoi,35
Warichaphum Hospital,Sakon Nakhon,Warichaphum,43
Bang Bo Hospital,Samut Prakan,Bang Bo,191
Bang Chak Hospital,Samut Prakan,Phra Pradaeng,104
Bang Sao Thong Hospital,Samut Prakan,Bang Sao Thong,20
Phra Samut Chedi Sawatayanon Hospital,Samut Prakan,Phra Samut Chedi,52
Tha Chalom City (Samut Sakhon 3) Hospital,Samut Sakhon,Mueang,74
Wat Bang Pla (Samut Sakhon 4) Hospital,Samut Sakhon,Mueang,74
Wat Ketmadeesriwararam (Samut Sakhon 2) Hospital,Samut Sakhon,Mueang,74
Amphawa Hospital,Samut Songkhram,Amphawa,33
Napalai Hospital,Samut Songkhram,Bang Khonthi,90
Ban Mo Hospital,Saraburi,Ban Mo,30
Don Phut Hospital,Saraburi,Don Phut,15
Kaeng Khoi Hospital,Saraburi,Kaeng Khoi,68
Muak Lek Hospital,Saraburi,Muak Lek,35
Nong Don Hospital,Saraburi,Nong Don,20
Nong Khae Hospital,Saraburi,Nong Khae,65
Nong Saeng Hospital,Saraburi,Nong Saeng,15
Sao Hai Chaloem Phrakiat Hospital,Saraburi,Sao Hai,28
Wang Muang Sattatham Hospital,Saraburi,Wang Muang,33
Wihan Daeng Hospital,Saraburi,Wihan Daeng,48
Khuan Don Hospital,Satun,Khuan Don,34
Khuan Kalong Hospital,Satun,Khuan Kalong,36
La-ngu Hospital,Satun,La-ngu,136
Manang Hospital,Satun,Manang,32
Tha Phae Hospital,Satun,Tha Phae,69
Thung Wa Hospital,Satun,Thung Wa,30
Bang Rachan Hospital,Singburi,Bang Rachan,35
Khai Bang Rachan Hospital,Singburi,Khai Bang Rachan,30
Phrom Buri Hospital,Singburi,Phrom Buri,28
Tha Chang Hospital,Singburi,Tha Chang,42
Benchalak Chaloem Phrakiat Hospital,Sisaket,Benchalak,30
Bueng Bun Hospital,Sisaket,Bueng Bun,30
Huai Thap Than Hospital,Sisaket,Huai Thap Than,30
Kanthararom Hospital,Sisaket,Kanthararom,120
Khu Khan Hospital,Sisaket,Khu Khan,135
Khun Han Hospital,Sisaket,Khun Han,94
Mueang Chan Hospital,Sisaket,Mueang Chan,30
Nam Kliang Hospital,Sisaket,Nam Kliang,32
Non Khun Hospital,Sisaket,Non Khun,30
Phayu Hospital,Sisaket,Phayu,30
Pho Si Suwan Hospital,Sisaket,Pho Si Suwan,30
Phrai Bueng Hospital,Sisaket,Phrai Bueng,33
Phu Sing Hospital,Sisaket,Phu Sing,34
Prang Ku Hospital,Sisaket,Prang Ku,60
Rasi Salai Hospital,Sisaket,Rasi Salai,90
Sila Lat Hospital,Sisaket,Sila Lat,30
Si Rattana Hospital,Sisaket,Si Rattana,70
Uthumphon Phisai Hospital,Sisaket,Uthumphon Phisai,130
Wang Hin Hospital,Sisaket,Wang Hin,34
Yang Chum Noi Hospital,Sisaket,Yang Chum Noi,33
Bang Klam Hospital,Songkhla,Bang Klam,40
Chana Hospital,Songkhla,Chana,64
Her Majesty the Queen's Hospital Na Thawi,Songkhla,Na Thawi,150
Khlong Hoi Khong Hospital,Songkhla,Khlong Hoi Khong,30
Khuan Niang Hospital,Songkhla,Khuan Niang,39
Krasae Sin Hospital,Songkhla,Krasae Sin,30
Na Mom Hospital,Songkhla,Na Mom,30
Padang Besar Hospital,Songkhla,Sadao,34
Ranot Hospital,Songkhla,Ranot,62
Rattaphum Hospital,Songkhla,Rattaphum,73
Saba Yoi Hospital,Songkhla,Saba Yoi,30
Sadao Hospital,Songkhla,Sadao,74
Sathing Phra Hospital,Songkhla,Sathing Phra,42
Singhanakhon Hospital,Songkhla,Singhanakhon,30
Thepha Hospital,Songkhla,Thepha,60
Ban Dan Lan Hoi Hospital,Sukhothai,Ban Dan Lan Hoi,35
Khiri Mat Hospital,Sukhothai,Khiri Mat,50
Kong Krailat Hospital,Sukhothai,Kong Krailat,41
Sawankhalok Hospital,Sukhothai,Sawankhalok,111
Si Nakhon Hospital,Sukhothai,Si Nakhon,30
Si Satchanalai Hospital,Sukhothai,Si Satchanalai,60
Thung Saliam Hospital,Sukhothai,Thung Saliam,40
Bang Pla Ma Hospital,Suphan Buri,Bang Pla Ma,60
Dan Chang Hospital,Suphan Buri,Dan Chang,111
Doem Bang Nang Buat Hospital,Suphan Buri,Doem Bang Nang Buat,109
Don Chedi Hospital,Suphan Buri,Don Chedi,60
Nong Ya Sai Hospital,Suphan Buri,Nong Ya Sai,60
Sam Chuk Hospital,Suphan Buri,Sam Chuk,83
Si Prachan Hospital,Suphan Buri,Si Prachan,60
U Thong Hospital,Suphan Buri,U Thong,134
Ban Na Doem Hospital,Surat Thani,Ban Na Doem,30
Ban Na San Hospital,Surat Thani,Ban Na San,65
Ban Ta Khun Hospital,Surat Thani,Ban Ta Khun,30
Chai Buri Hospital,Surat Thani,Chai Buri,30
Chaiya Hospital,Surat Thani,Chaiya,60
Don Sak Hospital,Surat Thani,Don Sak,30
Kanchanadit Hospital,Surat Thani,Kanchanadit,120
Khian Sa Hospital,Surat Thani,Khian Sa,32
Khiri Rat Nikhom Hospital,Surat Thani,Khiri Rat Nikhom,40
Ko Pha-ngan Hospital,Surat Thani,Ko Pha-ngan,50
Ko Tao Hospital,Surat Thani,Ko Pha-ngan,10
Phanom Hospital,Surat Thani,Phanom,30
Phrasaeng Hospital,Surat Thani,Phrasaeng,60
Phunphin Hospital,Surat Thani,Phunphin,60
Tha Chana Hospital,Surat Thani,Tha Chana,30
Tha Chang Hospital,Surat Thani,Tha Chang,30
Tha Rong Chang Hospital,Surat Thani,Tha Rong Chang,90
Vibhavadi Hospital,Surat Thani,Vibhavadi,30
Wiang Sa Crown Prince Hospital,Surat Thani,Wiang Sa,120
Bua Chet Hospital,Surin,Bua Chet,50
Chom Phra Hospital,Surin,Chom Phra,60
Chumphon Buri Hospital,Surin,Chumphon Buri,60
Kap Choeng Hospital,Surin,Kap Choeng,97
Khwao Sinarin Hospital,Surin,Khwao Sinarin,30
Lamduan Hospital,Surin,Lamduan,115
Non Narai Hospital,Surin,Non Narai,30
Phanom Dongrak Chaloem Phrakiat Hospital,Surin,Phanom Dongrak,30
Rattanaburi Hospital,Surin,Rattanaburi,130
Samrong Thap Hospital,Surin,Samrong Thap,66
Sangkha Hospital,Surin,Sangkha,216
Sanom Hospital,Surin,Sanom,39
Si Narong Hospital,Surin,Si Narong,36
Tha Tum Hospital,Surin,Tha Tum,140
Ban Tak Hospital,Tak,Ban Tak,65
Mae Ramat Hospital,Tak,Mae Ramat,120
Phop Phra Hospital,Tak,Phop Phra,136
Sam Ngao Hospital,Tak,Sam Ngao,36
Tha Song Yang Hospital,Tak,Tha Song Yang,100
Umphang Hospital,Tak,Umphang,75
Wang Chao Hospital,Tak,Wang Chao,30
Hat Samran Chaloem Phrakiat Hospital,Trang,Hat Samran,37
Huai Yot Hospital,Trang,Huai Yot,100
Kantang Hospital,Trang,Kantang,95
Na Yong Hospital,Trang,Na Yong,60
Palian Hospital,Trang,Palian,40
Ratsada Hospital,Trang,Ratsada,49
Sikao Hospital,Trang,Sikao,48
Wang Wiset Hospital,Trang,Wang Wiset,34
Yan Ta Khao Hospital,Trang,Yan Ta Khao,94
Bo Rai Hospital,Trat,Bo Rai,37
Khao Saming Hospital,Trat,Khao Saming,36
Khlong Yai Hospital,Trat,Khlong Yai,39
Ko Chang Hospital,Trat,Ko Chang,26
Ko Kut Hospital,Trat,Ko Kut,7
Laem Ngop Hospital,Trat,Laem Ngop,30
Buntharik Hospital,Ubon Ratchathani,Buntharik,61
Don Mot Daeng Hospital,Ubon Ratchathani,Don Mot Daeng,30
Khemarat Hospital,Ubon Ratchathani,Khemarat,60
Khong Chiam Hospital,Ubon Ratchathani,Khong Chiam,30
Khueang Nai Hospital,Ubon Ratchathani,Khueang Nai,120
Kut Khao Pun Hospital,Ubon Ratchathani,Kut Khao Pun,30
Lao Suea Kok Hospital,Ubon Ratchathani,Lao Suea Kok,30
Muang Sam Sip Hospital,Ubon Ratchathani,Muang Sam Sip,90
Na Chaluai Hospital,Ubon Ratchathani,Na Chaluai,30
Na Tan Hospital,Ubon Ratchathani,Na Tan,30
Na Yia Hospital,Ubon Ratchathani,Na Yia,30
Nam Khun Hospital,Ubon Ratchathani,Nam Khun,30
Nam Yuen Hospital,Ubon Ratchathani,Nam Yuen,80
Phibun Mangsahan Hospital,Ubon Ratchathani,Phibun Mangsahan,154
Pho Sai Hospital,Ubon Ratchathani,Pho Sai,40
Samrong Hospital,Ubon Ratchathani,Samrong,30
Sawang Wirawong Hospital,Ubon Ratchathani,Sawang Wirawong,30
Si Mueang Mai Hospital,Ubon Ratchathani,Si Mueang Mai,60
Sirindhorn Hospital,Ubon Ratchathani,Sirindhorn,30
Tan Sum Hospital,Ubon Ratchathani,Tan Sum,30
Thung Si Udom Hospital,Ubon Ratchathani,Thung Si Udom,30
Ban Dung Crown Prince Hospital,Udon Thani,Ban Dung,139
Ban Phue Hospital,Udon Thani,Ban Phue,126
Chai Wan Hospital,Udon Thani,Chai Wan,30
Huai Koeng Hospital,Udon Thani,Huai Koeng,8
Ku Kaeo Hospital,Udon Thani,Ku Kaeo,30
Kut Chap Hospital,Udon Thani,Kut Chap,60
Na Yung Hospital,Udon Thani,Na Yung,30
Nam Som Hospital,Udon Thani,Nam Som,60
Non Sa-at Hospital,Udon Thani,Non Sa-at,40
Nong Han Hospital,Udon Thani,Nong Han,137
Nong Saeng Hospital,Udon Thani,Nong Saeng,30
Nong Wua So Hospital,Udon Thani,Nong Wua So,60
Phen Hospital,Udon Thani,Phen,114
Phibun Rak Hospital,Udon Thani,Phibun Rak,30
Prachaksinlapakhom Hospital,Udon Thani,Prachaksinlapakhom,30
Sang Khom Hospital,Udon Thani,Sang Khom,30
Si That Hospital,Udon Thani,Si That,30
Thung Fon Hospital,Udon Thani,Thung Fon,30
Wang Sam Mo Hospital,Udon Thani,Wang Sam Mo,55
Ban Rai Hospital,Uthai Thani,Ban Rai,62
Huai Khot Hospital,Uthai Thani,Huai Khot,30
Lan Sak Hospital,Uthai Thani,Lan Sak,60
Nong Chang Hospital,Uthai Thani,Nong Chang,90
Nong Kha Yang Hospital,Uthai Thani,Nong Kha Yang,10
Sawang Arom Hospital,Uthai Thani,Sawang Arom,30
Thap Than Hospital,Uthai Thani,Thap Than,90
Ban Khok Hospital,Uttaradit,Ban Khok,31
Fak Tha Hospital,Uttaradit,Fak Tha,30
Lap Lae Hospital,Uttaradit,Lap Lae,50
Nam Pat Hospital,Uttaradit,Nam Pat,30
Phichai Hospital,Uttaradit,Phichai,70
Tha Pla Hospital,Uttaradit,Tha Pla,30
Thong Saen Khan Hospital,Uttaradit,Thong Saen Khan,36
Tron Hospital,Uttaradit,Tron,35
Bannang Sata Hospital,Yala,Bannang Sata,60
Kabang Hospital,Yala,Kabang,30
Krong Pinang Hospital,Yala,Krong Pinang,30
Raman Hospital,Yala,Raman,90
Than To Hospital,Yala,Than To,36
Yaha Crown Prince Hospital,Yala,Yaha,90
Kham Khuean Kaeo Hospital,Yasothon,Kham Khuean Kaeo,60
Kho Wang Hospital,Yasothon,Kho Wang,30
Kut Chum Hospital,Yasothon,Kut Chum,30
Loeng Nok Tha Crown Prince Hospital,Yasothon,Loeng Nok Tha,120
Maha Chana Chai Hospital,Yasothon,Maha Chana Chai,30
Pa Tio Hospital,Yasothon,Pa Tio,30
Sai Mun Hospital,Yasothon,Sai Mun,30
Thai Charoen Hospital,Yasothon,Thai Charoen,30
