name,province,district,beds (2024),funding,specialty
"Health Promotion Hospital, 4th Regional Health Promotion Center",Ratchaburi,,,Public,
"Health Promotion Hospital, 5th Regional Health Promotion Center",Nakhon Ratchasima,,,Public,
"Health Promotion Hospital, 5th Regional Health Promotion Center",Nakhon Ratchasima,,,Public,
"Health Promotion Hospital, 6th Regional Health Promotion Center",Khon Kaen,,,Public,
"Health Promotion Hospital, 7th Regional Health Promotion Center",Ubon Ratchathani,,,Public,
"Health Promotion Hospital, 8th Regional Health Promotion Center",Nakhon Sawan,,,Public,
Her Majesty the Queen's Hospital Na Thawi,Songkhla,Na Thawi,150,Public,
Hospital for Tropical Diseases,Bangkok,,,Public,Tropical diseases
"Hospital of the Faculty of Dentistry, Chulalongkorn University",Bangkok,,,Public,Dentistry
Hot Hospital,Chiang Mai,Hot,79,Public,
Hua Chiew Hospital,Bangkok,,,Private,
Hua Hin Chalerm Prakiet Red Cross Health Station,Prachuap Khiri Khan,,,Public,
Hua Hin Hospital,Prachuap Khiri Khan,Hua Hin,395,Public,
Hua Sai Hospital,Nakhon Si Thammarat,Hua Sai,60,Public,
Hua Taphan Hospital,Amnat Charoen,Hua Taphan,60,Public,
Huai Khot Hospital,Uthai Thani,Huai Khot,30,Public,
Huai Koeng Hospital,Udon Thani,Huai Koeng,8,Public,
Huai Krachao Chaloem Phrakiat Hospital,Kanchanaburi,Huai Krachao,30,,
Huai Krachao Chaloem Phrakiat Hospital Marking His Majesty the King's 80th Birthday,Kanchanaburi,,,Public,
Huai Mek Hospital,Kalasin,Huai Mek,58,Public,
Huai Phlu Hospital,Nakhon Pathom,Nakhon Chai Si,60,Public,
Huai Phueng Hospital,Kalasin,Huai Phueng,34,Public,
Huai Rat Hospital,Buriram,Huai Rat,44,Public,
Huai Thalaeng Hospital,Nakhon Ratchasima,Huai Thalaeng,60,Public,
Huai Thap Than Hospital,Sisaket,Huai Thap Than,30,Public,
Huai Yot Hospital,Trang,Huai Yot,100,Public,
Huai Yot Hospital,Trang,Huai Yot,100,Private,
Imperial Hospital,Prachinburi,,,Private,
In Buri Hospital,Sing Buri,In Buri,150,,
In Buri Hospital,Singburi,,,Public,
Institute of Dermatology,Bangkok,,,Public,Dermatology
Inter Vechakarn Hospital,Phitsanulok,,,Private,
Jesada Vechakarn Hospital,Samut Sakhon,,,Private,
Jetanin Institute for Assisted Reproduction,Bangkok,,,Private,
Kabang Hospital,Yala,Kabang,30,Public,
Kabin Buri Hospital,Prachinburi,Kabin Buri,256,Public,
Kae Dam Hospital,Maha Sarakham,Kae Dam,30,Public,
Kaeng Hang Maeo Hospital,Chanthaburi,Kaeng Hang Maeo,34,Public,
Kaeng Khoi Hospital,Saraburi,Kaeng Khoi,68,Public,
Kaeng Khro Hospital,Chaiyaphum,Kaeng Khro,120,Public,
Kaeng Krachan Hospital,Phetchaburi,Kaeng Krachan,66,Public,
Kaeng Sanam Nang Hospital,Nakhon Ratchasima,Kaeng Sanam Nang,35,Public,
Kalasin Hospital,Kalasin,Mueang,570,Public,
Kamalasai Hospital,Kalasin,Kamalasai,143,Public,
Kamol Cosmetic Hospital,Bangkok,,,Private,Cosmetic
Kamphaeng Phet Hospital,Kamphaeng Phet,Mueang,492,Public,
Kamphaeng Saen Hospital,Nakhon Pathom,Kamphaeng Saen,120,Public,
Kanchanaburi Memorial Hospital,Kanchanaburi,,,Private,
Kanchanadit Hospital,Surat Thani,Kanchanadit,120,Public,
Kantang Hospital,Trang,Kantang,95,Public,
Kantharalak Hospital,Sisaket,Kantharalak,283,Public,
Kanthararom Hospital,Sisaket,Kanthararom,120,Public,
Kantharawichai Hospital,Maha Sarakham,Kantharawichai,60,Public,
Kao Liao Hospital,Nakhon Sawan,Kao Liao,34,Public,
Kap Choeng Hospital,Surin,Kap Choeng,97,Public,
Kapho Hospital,Pattani,Kapho,37,Public,
Kapoe Hospital,Ranong,Kapoe,35,Public,
Kapong Chaiphat Hospital,Phang Nga,Kapong,32,Public,
Karunapitak Hospital,Bangkok,,,Private,
Kasemrad Hospital Bangkae,Bangkok,,,Private,
Kasemrad Hospital Prachachuen,Bangkok,,,Private,
Kasemrad Hospital Rattanathibeth,Nonthaburi,,,Private,
Kasemrad Hospital Saraburi,Saraburi,,,Private,
Kasemrad Hospital Sriburin,Chiang Rai,,,Private,
Kasemrad Hospital Sukhapibal 3,Bangkok,,,Private,
Kaset Sombun Hospital,Chaiyaphum,Kaset Sombun,67,Public,
Kaset Wisai Hospital,Roi Et,Kaset Wisai,165,Public,
Khaen Dong Hospital,Buriram,Khaen Dong,31,Public,
Khai Bang Rachan Hospital,Singburi,Khai Bang Rachan,30,Public,
Kham Khuean Kaeo Hospital,Yasothon,Kham Khuean Kaeo,60,Public,
Kham Muang Hospital,Kalasin,Kham Muang,81,Public,
Kham Sakae Saeng Hospital,Nakhon Ratchasima,Kham Sakae Saeng,60,Public,
Kham Ta Kla Hospital,Sakon Nakhon,Kham Ta Kla,40,Public,
Kham Thale So Hospital,Nakhon Ratchasima,Kham Thale So,36,Public,
Khamcha-i Hospital,Mukdahan,Khamcha-i,30,Public,
Khanom Hospital,Nakhon Si Thammarat,Khanom,66,Public,
Khanu Woralaksaburi Hospital,Kamphaeng Phet,Khanu Woralaksaburi,90,Public,
Khao Chai Son Hospital,Phatthalung,Khao Chai Son,30,Public,
Khao Chakan Hospital,Sa Kaeo,Khao Chakan,50,Public,
Khao Chamao Chaloem Phrakiat Hospital,Rayong,Khao Chamao,30,,
Khao Chamao Chaloem Phrakiat Hospital Marking His Majesty the King's 80th Birthday,Rayong,,,Public,
Khao Khitchakut Hospital,Chanthaburi,Khao Khitchakut,40,Public,
Khao Kho Hospital,Phetchabun,Khao Kho,30,Public,
Khao Phanom Hospital,Krabi,Khao Phanom,52,Public,
Khao Saming Hospital,Trat,Khao Saming,36,Public,
Khao Suan Kwang Hospital,Khon Kaen,Khao Suan Kwang,45,Public,
Khao Sukim Hospital,Chanthaburi,Khao Sukim,30,Public,
Khao Wong Hospital,Kalasin,Khao Wong,88,Public,
Khao Yoi Hospital,Phetchaburi,Khao Yoi,33,Public,
Khelang Nakhon-Ram Hospital,Lampang,,,Private,
Khemarat Hospital,Ubon Ratchathani,Khemarat,60,Public,
Khian Sa Hospital,Surat Thani,Khian Sa,32,Public,
Khiri Mat Hospital,Sukhothai,Khiri Mat,50,Public,
Khiri Rat Nikhom Hospital,Surat Thani,Khiri Rat Nikhom,40,Public,
Khlong Hat Hospital,Sa Kaeo,Khlong Hat,38,Public,
Khlong Hoi Khong Hospital,Songkhla,Khlong Hoi Khong,30,Public,
Khlong Khlung Hospital,Kamphaeng Phet,Khlong Khlung,90,Public,
Khlong Khuean Hospital,Chachoengsao,Khlong Khuean,32,Public,
Khlong Lan Hospital,Kamphaeng Phet,Khlong Lan,60,Public,
Khlong Luang Hospital,Pathum Thani,Khlong Luang,62,Public,
Khlong Thom Hospital,Krabi,Khlong Thom,71,Public,
Khlong Yai Hospital,Trat,Khlong Yai,39,Public,
Khlung Hospital,Chanthaburi,Khlung,39,Public,
Kho Wang Hospital,Yasothon,Kho Wang,30,Public,
Khok Charoen Hospital,Lopburi,Khok Charoen,30,Public,
Khok Pho Chai Hospital,Khon Kaen,Khok Pho Chai,0,Public,
Khok Pho Hospital,Pattani,Khok Pho,104,Public,
Khok Samrong Hospital,Lopburi,Khok Samrong,120,Public,
Khok Si Suphan Hospital,Sakon Nakhon,Khok Si Suphan,42,Public,
Khok Sung Hospital,Sa Kaeo,Khok Sung,30,Public,
Khon Buri Hospital,Nakhon Ratchasima,Khon Buri,156,Public,
Khon Kaen Drug Dependence Treatment Center,Khon Kaen,,,Public,
Khon Kaen Hospital,Khon Kaen,Mueang,1238,Public,
Khon Kaen Rajanakarindra Psychiatric Hospital,Khon Kaen,,,Public,Psychiatry
Khon Kaen Ram Hospital,Khon Kaen,,,Private,
Khon San Hospital,Chaiyaphum,Khon San,62,Public,
Khon Sawan Hospital,Chaiyaphum,Khon Sawan,49,Public,
Khong Chai Hospital,Kalasin,Khong Chai,30,Public,
Khong Chiam Hospital,Ubon Ratchathani,Khong Chiam,30,Public,
Khong Hospital,Nakhon Ratchasima,Khong,60,Public,
Khorat Memorial Hospital,Nakhon Ratchasima,,,Private,
Khu Khan Hospital,Sisaket,Khu Khan,135,Public,
Khu Mueang Hospital,Buriram,Khu Mueang,90,Public,
Khuan Don Hospital,Satun,Khuan Don,34,Public,
Khuan Ka Long Hospital,Satun,,,Public,
Khuan Kalong Hospital,Satun,Khuan Kalong,36,,
Khuan Khanun Hospital,Phatthalung,Khuan Khanun,90,Public,
Khuan Niang Hospital,Songkhla,Khuan Niang,39,Public,
Khueang Nai Hospital,Ubon Ratchathani,Khueang Nai,120,Public,
Khun Han Hospital,Sisaket,Khun Han,94,Public,
Khun Tan Hospital,Chiang Rai,Khun Tan,34,Public,
Khun Yuam Hospital,Mae Hong Son,Khun Yuam,35,Public,
Khura Buri Chaiphat Hospital,Phang Nga,Khura Buri,33,Public,
Khwao Sinarin Hospital,Surin,Khwao Sinarin,30,Public,
King Chulalongkorn Memorial Hospital,Bangkok,,,Public,
King Mongkut Memorial (Phra Chom Klao) Hospital,Phetchaburi,,,Public,
King Narai Hospital,Lopburi,Mueang,550,Public,
Klaeng Hospital,Rayong,Klaeng,200,Public,
Klongtun Medical Center,Bangkok,,,Private,
Kluaynamthai 2 Nursing Home,Bangkok,,,Private,
Kluaynamthai Hospital,Bangkok,,,Private,
Ko Chan Hospital,Chonburi,Ko Chan,30,Public,
Ko Chang Hospital,Trat,Ko Chang,26,Public,
Ko Kha Hospital,Lampang,Ko Kha,152,Public,
Ko Kut Hospital,Trat,Ko Kut,7,Public,
Ko Lanta Hospital,Krabi,Ko Lanta,40,Public,
Ko Pha-ngan Hospital,Surat Thani,Ko Pha-ngan,50,,
Ko Phangan Hospital,Surat Thani,,,Public,
Ko Phi Phi Hospital,Krabi,Mueang,7,,
Ko Samui Hospital,Surat Thani,Ko Samui,160,Public,
Ko Sichang Hospital,Chonburi,Ko Sichang,15,Public,
Ko Tao Hospital,Surat Thani,Ko Pha-ngan,10,,
Ko Yao Chaiphat Hospital,Phang Nga,Ko Yao,30,Public,
Kong Krailat Hospital,Sukhothai,Kong Krailat,41,Public,
Kong Ra Hospital,Phatthalung,Kong Ra,35,Public,
Kosamphi Nakhon Hospital,Kamphaeng Phet,Kosamphi Nakhon,10,Public,
Kosum Phisai Hospital,Maha Sarakham,Kosum Phisai,120,Public,
Kra Buri Hospital,Ranong,Kra Buri,30,Public,
Krabi Hospital,Krabi,Mueang,447,Public,
Kranuan Crown Prince Hospital,Khon Kaen,Kranuan,150,Public,
Krasae Sin Hospital,Songkhla,Krasae Sin,30,Public,
Krasang Hospital,Buriram,Krasang,68,Public,
Krathum Baen Hospital,Samut Sakhon,Krathum Baen,300,Public,
Krok Phra Hospital,Nakhon Sawan,Krok Phra,30,Public,
Krong Pinang Hospital,Yala,Krong Pinang,30,Public,
Krung Siam St. Carlos Medical Centre,Pathum Thani,,,Private,
Krungdhon 1 Hospital,Bangkok,,,Private,
Krungdhon 2 Hospital,Bangkok,,,Private,
Krungthai Hospital,Nonthaburi,,,Private,
Ku Kaeo Hospital,Udon Thani,Ku Kaeo,30,Public,
Kuchinarai Crown Prince Hospital,Kalasin,Kuchinarai,177,Public,
Kui Buri Hospital,Prachuap Khiri Khan,Kui Buri,30,Public,
Kumphawapi Hospital,Udon Thani,Kumphawapi,280,Public,
Kusuman Hospital,Sakon Nakhon,Kusuman,40,Public,
Kut Bak Hospital,Sakon Nakhon,Kut Bak,39,Public,
Kut Chap Hospital,Udon Thani,Kut Chap,60,Public,
Kut Chum Hospital,Yasothon,Kut Chum,30,Public,
Kut Khao Pun Hospital,Ubon Ratchathani,Kut Khao Pun,30,Public,
Kut Rang Hospital,Maha Sarakham,Kut Rang,30,Public,
Kwai River Christian Hospital,Kanchanaburi,,,Private,
Kwongsiew Foundation Hospital,Bangkok,,,Private,
La-ngu Hospital,Satun,La-ngu,136,Public,
La-un Hospital,Ranong,La-un,16,Public,
Ladprao General Hospital,Bangkok,,,Private,
Laem Chabang Hospital,Chonburi,Si Racha,187,Public,
Laem Ngop Hospital,Trat,Laem Ngop,30,Public,
Laem Sing Hospital,Chanthaburi,Laem Sing,34,Public,
Lahan Sai Hospital,Buriram,Lahan Sai,123,Public,
Lam Luk Ka Hospital,Pathum Thani,Lam Luk Ka,46,Public,
Lam Plai Mat Hospital,Buriram,Lam Plai Mat,152,Public,
Lam Sonthi Hospital,Lopburi,Lam Sonthi,37,Public,
Lam Thamen Chai Hospital,Nakhon Ratchasima,Lam Thamen Chai,30,Public,
Lam Thap Hospital,Krabi,Lam Thap,36,Public,
Lamae Hospital,Chumphon,Lamae,30,Public,
Lamduan Hospital,Surin,Lamduan,115,Public,
Lampang Cancer Center,Lampang,,,Public,Oncology
Lampang Hospital,Lampang,Mueang,745,Public,
Lamphun Hospital,Lamphun,Mueang,411,Public,
Lan Krabue Hospital,Kamphaeng Phet,Lan Krabue,30,Public,
Lan Sak Hospital,Uthai Thani,Lan Sak,60,Public,
Lan Saka Hospital,Nakhon Si Thammarat,Lan Saka,52,Public,
Lang Suan Hospital,Chumphon,Lang Suan,182,Public,
Lanna Hospital Chiangmai,Chiang Mai,,,Private,
Lao Khwan Hospital,Kanchanaburi,Lao Khwan,54,Public,
Lao Suea Kok Hospital,Ubon Ratchathani,Lao Suea Kok,30,Public,
Lap Lae Hospital,Uttaradit,Lap Lae,50,Public,
Lat Bua Luang Hospital,Ayutthaya,,,Public,
Lat Bua Luang Hospital,Phra Nakhon Si Ayutthaya,Lat Bua Luang,34,,
Lat Lum Kaeo Hospital,Pathum Thani,Lat Lum Kaeo,48,Public,
Lat Yao Hospital,Nakhon Sawan,Lat Yao,90,Public,
Lerdsin Hospital,Bangkok,,,Public,
Li Hospital,Lamphun,Li,74,Public,
Loei Hospital,Loei,Mueang,558,Public,
Loei Rajanakarindra Psychiatric Hospital,Loei,,,Public,Psychiatry
Loeng Nok Tha Crown Prince Hospital,Yasothon,Loeng Nok Tha,120,Public,
Lom Kao Crown Prince Hospital,Phetchabun,Lom Kao,100,Public,
Lom Sak Hospital,Phetchabun,Lom Sak,235,Public,
Long Hospital,Phrae,Long,39,Public,
Lopburi Cancer Center,Lopburi,,,Public,Oncology
Luang Pho Khun Parisuddho Hospital,Nakhon Ratchasima,Dan Khun Thot,114,,
Luang Pho Poen Hospital,Nakhon Pathom,Nakhon Chai Si,32,Public,
Luang Pho Taweesak Hospital,Bangkok,,,Public,
Lue Amnat Hospital,Amnat Charoen,Lue Amnat,30,Public,
Mae Ai Hospital,Chiang Mai,Mae Ai,82,Public,
Mae Chaem Hospital,Chiang Mai,,,Public,
Mae Chai Hospital,Phayao,Mae Chai,30,Public,
Mae Chan Hospital,Chiang Rai,Mae Chan,152,Public,
Mae Charim Hospital,Nan,Mae Charim,20,Public,
Mae Fa Luang Hospital,Chiang Rai,Mae Fa Luang,30,Public,
Mae Fah Luang University Hospital,Chiang Rai,,,Public,
Mae Hong Son Drug Dependence Treatment Center,Mae Hong Son,,,Public,
Mae La Noi Hospital,Mae Hong Son,Mae La Noi,34,Public,
Mae Lan Hospital,Pattani,Mae Lan,34,Public,
Mae Lao Hospital,Chiang Rai,Mae Lao,30,Public,
Mae Mo Hospital,Lampang,Mae Mo,30,Public,
Mae On Hospital,Chiang Mai,Mae On,30,Public,
Mae Phrik Hospital,Lampang,Mae Phrik,16,Public,
Mae Poen Hospital,Nakhon Sawan,Mae Poen,0,,
Mae Ramat Hospital,Tak,Mae Ramat,120,Public,
Mae Sai Hospital,Chiang Rai,Mae Sai,156,Public,
Mae Sariang Hospital,Mae Hong Son,Mae Sariang,115,Public,
Mae Sot Hospital,Tak,Mae Sot,420,Public,
Mae Suai Hospital,Chiang Rai,Mae Suai,60,Public,
Mae Taeng Hospital,Chiang Mai,Mae Taeng,60,Public,
Mae Tha Hospital,Lampang,Mae Tha,33,Public,
Mae Tha Hospital,Lamphun,Mae Tha,30,Public,
Mae Tuen Hospital,Chiang Mai,Om Koi,19,,
Mae Wang Hospital,Chiang Mai,Mae Wang,37,Public,
Mae Wong Hospital,Nakhon Sawan,Mae Wong,30,Public,
Maeklong Hospital,Samut Songkhram,,,Private,
Maha Chana Chai Hospital,Yasothon,Maha Chana Chai,30,Public,
Maha Rat Hospital,Ayutthaya,,,Public,
Maha Rat Hospital,Phra Nakhon Si Ayutthaya,Maha Rat,22,,
Maha Sarakham Hospital,Maha Sarakham,Mueang,538,Public,
Maha Vajiralongkorn Cancer Centre,Pathum Thani,,,Public,Oncology
Mahachai 2 Hospital,Samut Sakhon,,,Private,
Mahachai 3 Hospital,Samut Sakhon,,,Private,
Mahachai Hospital Medical Specialty Center,Samut Sakhon,,,Private,
Maharaj Nakhon Si Thammarat Hospital,Nakhon Si Thammarat,Mueang,866,Public,
Maharaj Nakorn Chiang Mai Hospital,Chiang Mai,,,Public,
Maharat Nakhon Ratchasima Hospital,Nakhon Ratchasima,Mueang,1478,Public,
Mahasarakham International Hospital,Maha Sarakham,,,Private,
Mahesak Hospital,Bangkok,,,Private,
Mahnam Hospital,Nonthaburi,,,Private,
Mai Kaen Hospital,Pattani,Mai Kaen,34,Public,
Makarak Hospital,Kanchanaburi,Tha Maka,280,Public,
Makham Hospital,Chanthaburi,Makham,42,Public,
Makutkiriwan Hospital,Nakhon Ratchasima,Pak Chong,13,,
Manang Hospital,Satun,Manang,32,Public,
Manarom Hospital,Bangkok,,,Private,
Mancha Khiri Hospital,Khon Kaen,Mancha Khiri,65,Public,
Manorom Hospital,Chai Nat,Manorom,30,,
Manorom Hospital,Chainat,,,Public,
Map Ammarit Hospital,Chumphon,Map Ammarit,30,Public,
Mayo Hospital,Pattani,Mayo,42,Public,
Mayo Hospital (Thailand),Bangkok,,,Private,
McCormick Hospital,Chiang Mai,,,Private,
McKean Health Centre,Chiang Mai,,,Private,
"Medical Battalion, Royal Thai Marine Corps",Chonburi,,,Public,
Medical Correctional Institution,Bangkok,,,Public,
"Medical Division, Armed Forces Academies Preparatory School",Nakhon Nayok,,,Public,
"Medical Section, Naval Air Station",Rayong,,,Public,
"Medical Section, Naval Rating School",Chonburi,,,Public,
"Medical Section, Recruit Training Center",Chonburi,,,Public,
Medical Vechakarn Health Centre,Chonburi,,,Private,
Metropolitan Electricity Authority Hospital,Bangkok,,,Public,
Mettapracharak Watraikhing Hospital,Nakhon Pathom,,,Public,Ophthalmology
Mission Hospital Phuket,Phuket,,,Private,
Mittraphap Memorial Hospital,Saraburi,,,Private,
Moei Wadi Hospital,Roi Et,Moei Wadi,30,Public,
Mongkutrayong Hospital,Rayong,,,Private,
Mongkutwattana General Hospital,Bangkok,,,Private,
Muak Lek Hospital,Saraburi,Muak Lek,35,Public,
Muang Sam Sip Hospital,Ubon Ratchathani,Muang Sam Sip,90,Public,
Muangpatum Hospital,Pathum Thani,,,Private,
Muangraj Hospital,Ratchaburi,,,Private,
Mueang Chan Hospital,Sisaket,Mueang Chan,30,Public,
Mueang Loei Ram Hospital,Loei,,,Private,
Mueang Narai Hospital,Lopburi,,,Private,
Mueang Pan Hospital,Lampang,Mueang Pan,30,Public,
Mueang Phet Hospital,Phetchabun,,,Private,
Mueang Samut Bang Pu Health Centre,Samut Prakan,,,Private,
Mueang Samut Pak Nam Hospital,Samut Prakan,,,Private,
Mueang Samut Pu Chao Saming Phrai Hospital,Samut Prakan,,,Private,
Mueang Suang Hospital,Roi Et,Mueang Suang,33,Public,
Mueang Yang Chaloem Phrakiat Hospital Marking 100 Years of Princess Srinagarindra,Nakhon Ratchasima,,,Public,
Muengpetch-Thonburi Hospital,Phetchaburi,,,Private,
Mukdahan Hospital,Mukdahan,Mueang,485,Public,
Mukdahan International Hospital,Mukdahan,,,Private,
NC Wellness & Medical Spa,Ayutthaya,,,Private,
Na Bon Hospital,Nakhon Si Thammarat,Na Bon,30,Public,
Na Chaluai Hospital,Ubon Ratchathani,Na Chaluai,30,Public,
Na Chueak Hospital,Maha Sarakham,Na Chueak,68,Public,
Na Di Hospital,Prachinburi,Na Di,60,Public,
Na Duang Hospital,Loei,Na Duang,30,Public,
Na Dun Hospital,Maha Sarakham,Na Dun,30,Public,
Na Haeo Hospital,Loei,Na Haeo,20,Public,
Na Kae Hospital,Nakhon Phanom,Na Kae,61,Public,
Na Khu Hospital,Kalasin,Na Khu,41,Public,
Na Klang Hospital,Nong Bua Lamphu,Na Klang,60,Public,
Na Mom Hospital,Songkhla,Na Mom,30,Public,
Na Mon Hospital,Kalasin,Na Mon,37,Public,
Na Muen Hospital,Nan,Na Muen,20,Public,
Na Noi Hospital,Nan,Na Noi,69,Public,
Na Pho Hospital,Buriram,Na Pho,35,Public,
Na Tan Hospital,Ubon Ratchathani,Na Tan,30,Public,
Na Thom Hospital,Nakhon Phanom,Na Thom,36,Public,
Na Wa Hospital,Nakhon Phanom,Na Wa,48,Public,
Na Wang Chaloem Phrakiat Hospital,Nong Bua Lamphu,Na Wang,30,,
Na Wang Chaloem Phrakiat Hospital Marking His Majesty the King's 80th Birthday,Nong Bua Lamphu,,,Public,
Na Yai Am Hospital,Chanthaburi,Na Yai Am,38,Public,
Na Yia Hospital,Ubon Ratchathani,Na Yia,30,Public,
Na Yong Hospital,Trang,Na Yong,60,Public,
Na Yung Hospital,Udon Thani,Na Yung,30,Public,
Nakharin Hospital,Nakhon Si Thammarat,,,Private,
Nakhon Chai Si Hospital,Nakhon Pathom,Nakhon Chai Si,60,Public,
Nakhon Christian Hospital,Nakhon Si Thammarat,,,Private,
Nakhon Nayok Hospital,Nakhon Nayok,Mueang,314,Public,
Nakhon Pathom Hospital,Nakhon Pathom,Mueang,860,Public,
Nakhon Phanom Hospital,Nakhon Phanom,Mueang,392,Public,
Nakhon Phanom Rajanakarindra Psychiatric Hospital,Nakhon Phanom,,,Public,Psychiatry
Nakhon Ratchasima Rajanakarindra Psychiatric Hospital,Nakhon Ratchasima,,,Public,Psychiatry
Nakhon Sawan Rajanakarindra Psychiatric Hospital,Nakhon Sawan,,,Public,Psychiatry
Nakhon Si Thammarat City Hospital,Nakhon Si Thammarat,,,Public,
Nakhon Thai Crown Prince Hospital,Phitsanulok,Nakhon Thai,118,Public,
Nakhonpat Hospital,Nakhon Si Thammarat,,,Private,
Nakornlom Hospital,Phetchabun,,,Private,
Nakornping Hospital,Chiang Mai,Mae Rim,750,Public,
Nakornthon Hospital,Bangkok,,,Private,
Nam Khun Hospital,Ubon Ratchathani,Nam Khun,30,Public,
Nam Kliang Hospital,Sisaket,Nam Kliang,32,Public,
Nam Nao Hospital,Phetchabun,Nam Nao,10,Public,
Nam Pat Hospital,Uttaradit,Nam Pat,30,Public,
Nam Phong Hospital,Khon Kaen,Nam Phong,120,Public,
Nam Som Hospital,Udon Thani,Nam Som,60,Public,
Nam Yuen Hospital,Ubon Ratchathani,Nam Yuen,80,Public,
Nan Hospital,Nan,Mueang,557,Public,
Nan-ah Polyclinic,Bangkok,,,Private,
Nang Rong Hospital,Buriram,Nang Rong,459,Public,
Napalai (Bang Khonthi) Hospital,Samut Songkhram,,,Public,
Napalai Hospital,Samut Songkhram,Bang Khonthi,90,,
